epoch,step,cls_token_dim,cls_token_var,track_rep_dim,track_rep_var,lang_emb_dim,lang_emb_var
0,3119,"[10, 7]",0.12003675848245621,"[10, 7]",0.1699996292591095,"[16, 768]",0.6151511073112488
1,3119,"[10, 7]",0.19833023846149445,"[10, 7]",0.20654970407485962,"[16, 768]",0.6115692853927612
2,3119,"[10, 7]",0.17446717619895935,"[10, 7]",0.17593979835510254,"[16, 768]",0.6114774942398071
3,3119,"[10, 7]",0.07495099306106567,"[10, 7]",0.1213439479470253,"[16, 768]",0.6121780872344971
4,3119,"[10, 7]",0.2619097828865051,"[10, 7]",0.14540332555770874,"[16, 768]",0.6150901913642883
5,3119,"[10, 7]",0.21610863506793976,"[10, 7]",0.17930541932582855,"[16, 768]",0.6090399622917175
6,3119,"[10, 7]",0.07270203530788422,"[10, 7]",0.133549302816391,"[16, 768]",0.6088966727256775
7,3119,"[10, 7]",0.20730137825012207,"[10, 7]",0.12431931495666504,"[16, 768]",0.6070616841316223
8,3119,"[10, 7]",0.12883031368255615,"[10, 7]",0.22211554646492004,"[16, 768]",0.6139997243881226
9,3119,"[10, 7]",0.1057019755244255,"[10, 7]",0.17964935302734375,"[16, 768]",0.6104916334152222
10,3119,"[10, 7]",0.21699708700180054,"[10, 7]",0.17549444735050201,"[16, 768]",0.6078724265098572
11,3119,"[10, 7]",0.14167146384716034,"[10, 7]",0.15349003672599792,"[16, 768]",0.6121702194213867
12,3119,"[10, 7]",0.20502586662769318,"[10, 7]",0.19980603456497192,"[16, 768]",0.611764132976532
13,3119,"[10, 7]",0.26433438062667847,"[10, 7]",0.24800844490528107,"[16, 768]",0.6147949695587158
14,3119,"[10, 7]",0.1054847240447998,"[10, 7]",0.12251418828964233,"[16, 768]",0.6105198860168457
15,3119,"[10, 7]",0.2145790457725525,"[10, 7]",0.1456308662891388,"[16, 768]",0.6061525344848633
16,3119,"[10, 7]",0.16140547394752502,"[10, 7]",0.24395990371704102,"[16, 768]",0.6105989217758179
17,3119,"[10, 7]",0.1583351194858551,"[10, 7]",0.1927022784948349,"[16, 768]",0.6149849891662598
18,3119,"[10, 7]",0.14376278221607208,"[10, 7]",0.21286356449127197,"[16, 768]",0.607065737247467
19,3119,"[10, 7]",0.22338075935840607,"[10, 7]",0.10038787126541138,"[16, 768]",0.6082680225372314
20,3119,"[10, 7]",0.1193978562951088,"[10, 7]",0.10194921493530273,"[16, 768]",0.6131669878959656
21,3119,"[10, 7]",0.18891039490699768,"[10, 7]",0.15781080722808838,"[16, 768]",0.6092267036437988
22,3119,"[10, 7]",0.14249420166015625,"[10, 7]",0.1830725222826004,"[16, 768]",0.6046675443649292
23,3119,"[10, 7]",0.21277175843715668,"[10, 7]",0.14413531124591827,"[16, 768]",0.6085790991783142
24,3119,"[10, 7]",0.24273306131362915,"[10, 7]",0.22303038835525513,"[16, 768]",0.6087119579315186
