epoch,step,cls_token_dim,cls_token_var,track_rep_dim,track_rep_var,lang_emb_dim,lang_emb_var
25,3119,"[10, 7]",0.20682306587696075,"[10, 7]",0.15595588088035583,"[16, 768]",0.6154243350028992
26,3119,"[10, 7]",0.24041667580604553,"[10, 7]",0.14250990748405457,"[16, 768]",0.6089025139808655
27,3119,"[10, 7]",0.17105013132095337,"[10, 7]",0.17303331196308136,"[16, 768]",0.6055021286010742
28,3119,"[10, 7]",0.21911753714084625,"[10, 7]",0.15331725776195526,"[16, 768]",0.6064245700836182
29,3119,"[10, 7]",0.15683837234973907,"[10, 7]",0.21505454182624817,"[16, 768]",0.608563244342804
30,3119,"[10, 7]",0.254324346780777,"[10, 7]",0.13232026994228363,"[16, 768]",0.612812876701355
31,3119,"[10, 7]",0.21991243958473206,"[10, 7]",0.22742684185504913,"[16, 768]",0.6040956974029541
32,3119,"[10, 7]",0.1568785458803177,"[10, 7]",0.21881066262722015,"[16, 768]",0.6082777380943298
33,3119,"[10, 7]",0.10458768159151077,"[10, 7]",0.11729465425014496,"[16, 768]",0.611090898513794
34,3119,"[10, 7]",0.32172471284866333,"[10, 7]",0.13928239047527313,"[16, 768]",0.608987033367157
35,3119,"[10, 7]",0.07556749135255814,"[10, 7]",0.26488932967185974,"[16, 768]",0.6028804779052734
36,3119,"[10, 7]",0.13729695975780487,"[10, 7]",0.22463548183441162,"[16, 768]",0.6121368408203125
37,3119,"[10, 7]",0.19548164308071136,"[10, 7]",0.16324031352996826,"[16, 768]",0.6087725162506104
38,3119,"[10, 7]",0.23195874691009521,"[10, 7]",0.16467338800430298,"[16, 768]",0.6106374263763428
39,3119,"[10, 7]",0.19241072237491608,"[10, 7]",0.2010141760110855,"[16, 768]",0.6085516810417175
40,3119,"[10, 7]",0.18256638944149017,"[10, 7]",0.16650408506393433,"[16, 768]",0.6093710064888
41,3119,"[10, 7]",0.06319219619035721,"[10, 7]",0.2826269567012787,"[16, 768]",0.6124321818351746
42,3119,"[10, 7]",0.29218199849128723,"[10, 7]",0.16063715517520905,"[16, 768]",0.6139145493507385
43,3119,"[10, 7]",0.24815323948860168,"[10, 7]",0.22970853745937347,"[16, 768]",0.61388099193573
44,3119,"[10, 7]",0.18702258169651031,"[10, 7]",0.15669697523117065,"[16, 768]",0.6068301796913147
45,3119,"[10, 7]",0.029098400846123695,"[10, 7]",0.1943248212337494,"[16, 768]",0.6085708141326904
46,3119,"[10, 7]",0.11683712899684906,"[10, 7]",0.14744192361831665,"[16, 768]",0.6113805770874023
47,3119,"[10, 7]",0.12344571948051453,"[10, 7]",0.18807603418827057,"[16, 768]",0.6125466227531433
48,3119,"[10, 7]",0.24577608704566956,"[10, 7]",0.04474683105945587,"[16, 768]",0.6091081500053406
49,3119,"[10, 7]",0.17006362974643707,"[10, 7]",0.28733253479003906,"[16, 768]",0.6151099801063538
50,3119,"[10, 7]",0.1801464557647705,"[10, 7]",0.05219777300953865,"[16, 768]",0.6063709855079651
51,3119,"[10, 7]",0.2855074107646942,"[10, 7]",0.2543354630470276,"[16, 768]",0.6141343712806702
52,3119,"[10, 7]",0.1503479927778244,"[10, 7]",0.24001435935497284,"[16, 768]",0.6192581653594971
53,3119,"[10, 7]",0.2032727152109146,"[10, 7]",0.1883998066186905,"[16, 768]",0.6058785319328308
54,3119,"[10, 7]",0.09010006487369537,"[10, 7]",0.15085478127002716,"[16, 768]",0.606781005859375
55,3119,"[10, 7]",0.28881892561912537,"[10, 7]",0.28223127126693726,"[16, 768]",0.607062578201294
56,3119,"[10, 7]",0.2626524567604065,"[10, 7]",0.2681671380996704,"[16, 768]",0.6190142035484314
57,3119,"[10, 7]",0.1311856210231781,"[10, 7]",0.24291455745697021,"[16, 768]",0.6049649715423584
58,3119,"[10, 7]",0.2835884392261505,"[10, 7]",0.12359804660081863,"[16, 768]",0.611274778842926
59,3119,"[10, 7]",0.21800000965595245,"[10, 7]",0.12531423568725586,"[16, 768]",0.6149905920028687
60,3119,"[10, 7]",0.15433377027511597,"[10, 7]",0.2564103901386261,"[16, 768]",0.6108601093292236
61,3119,"[10, 7]",0.12608133256435394,"[10, 7]",0.16799640655517578,"[16, 768]",0.6159551739692688
62,3119,"[10, 7]",0.15181304514408112,"[10, 7]",0.14553327858448029,"[16, 768]",0.61018967628479
63,3119,"[10, 7]",0.2476755529642105,"[10, 7]",0.08754017949104309,"[16, 768]",0.6098958849906921
64,3119,"[10, 7]",0.1568528264760971,"[10, 7]",0.1495029777288437,"[16, 768]",0.6129082441329956
65,3119,"[10, 7]",0.21257461607456207,"[10, 7]",0.21682888269424438,"[16, 768]",0.6132717728614807
66,3119,"[10, 7]",0.13174733519554138,"[10, 7]",0.28003326058387756,"[16, 768]",0.6106519103050232
67,3119,"[10, 7]",0.2575734555721283,"[10, 7]",0.18691974878311157,"[16, 768]",0.6186827421188354
68,3119,"[10, 7]",0.13604524731636047,"[10, 7]",0.17628875374794006,"[16, 768]",0.6114674806594849
69,3119,"[10, 7]",0.28729012608528137,"[10, 7]",0.17675818502902985,"[16, 768]",0.6154018044471741
70,3119,"[10, 7]",0.12265560775995255,"[10, 7]",0.18226632475852966,"[16, 768]",0.6070237755775452
71,3119,"[10, 7]",0.2339887171983719,"[10, 7]",0.14278943836688995,"[16, 768]",0.6159419417381287
72,3119,"[10, 7]",0.25078365206718445,"[10, 7]",0.26745522022247314,"[16, 768]",0.6087411642074585
73,3119,"[10, 7]",0.1341998428106308,"[10, 7]",0.25933176279067993,"[16, 768]",0.6133858561515808
74,3119,"[10, 7]",0.1685650497674942,"[10, 7]",0.17391201853752136,"[16, 768]",0.6111189126968384
75,3119,"[10, 7]",0.3083515465259552,"[10, 7]",0.27323630452156067,"[16, 768]",0.6121230125427246
76,3119,"[10, 7]",0.19091975688934326,"[10, 7]",0.20118194818496704,"[16, 768]",0.6134943962097168
77,3119,"[10, 7]",0.1756819635629654,"[10, 7]",0.10177884250879288,"[16, 768]",0.607326328754425
78,3119,"[10, 7]",0.18919938802719116,"[10, 7]",0.1433393657207489,"[16, 768]",0.6096398830413818
79,3119,"[10, 7]",0.06659408658742905,"[10, 7]",0.19466394186019897,"[16, 768]",0.6111548542976379
80,3119,"[10, 7]",0.16492383182048798,"[10, 7]",0.16413097083568573,"[16, 768]",0.6128023266792297
81,3119,"[10, 7]",0.25198259949684143,"[10, 7]",0.22542046010494232,"[16, 768]",0.6148492693901062
82,3119,"[10, 7]",0.20557253062725067,"[10, 7]",0.1912686675786972,"[16, 768]",0.6125567555427551
83,3119,"[10, 7]",0.16978658735752106,"[10, 7]",0.23124819993972778,"[16, 768]",0.6110075116157532
84,3119,"[10, 7]",0.2031797617673874,"[10, 7]",0.20061694085597992,"[16, 768]",0.6071634292602539
85,3119,"[10, 7]",0.2395634800195694,"[10, 7]",0.2412370890378952,"[16, 768]",0.6127260327339172
86,3119,"[10, 7]",0.18713685870170593,"[10, 7]",0.19123364984989166,"[16, 768]",0.6163365840911865
87,3119,"[10, 7]",0.18197143077850342,"[10, 7]",0.28996211290359497,"[16, 768]",0.615381121635437
88,3119,"[10, 7]",0.1506008505821228,"[10, 7]",0.02811642922461033,"[16, 768]",0.6110737323760986
89,3119,"[10, 7]",0.2701345384120941,"[10, 7]",0.19002340734004974,"[16, 768]",0.6107445359230042
90,3119,"[10, 7]",0.13926926255226135,"[10, 7]",0.1362999975681305,"[16, 768]",0.6097118854522705
91,3119,"[10, 7]",0.1892862319946289,"[10, 7]",0.14615699648857117,"[16, 768]",0.6124504804611206
92,3119,"[10, 7]",0.18928544223308563,"[10, 7]",0.22402900457382202,"[16, 768]",0.6044754385948181
93,3119,"[10, 7]",0.07203119248151779,"[10, 7]",0.17953605949878693,"[16, 768]",0.6149532794952393
94,3119,"[10, 7]",0.15026089549064636,"[10, 7]",0.1993713527917862,"[16, 768]",0.6071849465370178
95,3119,"[10, 7]",0.23965266346931458,"[10, 7]",0.17420849204063416,"[16, 768]",0.6099210381507874
96,3119,"[10, 7]",0.2534521818161011,"[10, 7]",0.1344078630208969,"[16, 768]",0.6101877093315125
97,3119,"[10, 7]",0.14443999528884888,"[10, 7]",0.216309055685997,"[16, 768]",0.610603928565979
98,3119,"[10, 7]",0.2554207444190979,"[10, 7]",0.20816409587860107,"[16, 768]",0.6140170097351074
99,3119,"[10, 7]",0.2769225537776947,"[10, 7]",0.14657099545001984,"[16, 768]",0.610434353351593
100,3119,"[10, 7]",0.16237208247184753,"[10, 7]",0.026380890980362892,"[16, 768]",0.6149834990501404
0,3119,"[10, 7]",0.1731988489627838,"[10, 7]",0.22739152610301971,"[16, 768]",0.6115692853927612
1,3119,"[10, 7]",0.16112202405929565,"[10, 7]",0.14293809235095978,"[16, 768]",0.6114774942398071
2,3119,"[10, 7]",0.07735360413789749,"[10, 7]",0.11816906929016113,"[16, 768]",0.6121780872344971
3,3119,"[10, 7]",0.24843907356262207,"[10, 7]",0.1466691941022873,"[16, 768]",0.6150901913642883
4,3119,"[10, 7]",0.23787695169448853,"[10, 7]",0.17492762207984924,"[16, 768]",0.6090399622917175
5,3119,"[10, 7]",0.05326532572507858,"[10, 7]",0.13501831889152527,"[16, 768]",0.6088966727256775
6,3119,"[10, 7]",0.1965455263853073,"[10, 7]",0.13441525399684906,"[16, 768]",0.6070616841316223
7,3119,"[10, 7]",0.14408515393733978,"[10, 7]",0.2625107169151306,"[16, 768]",0.6139997243881226
8,3119,"[10, 7]",0.15094487369060516,"[10, 7]",0.21476532518863678,"[16, 768]",0.6104916334152222
9,3119,"[10, 7]",0.2172863930463791,"[10, 7]",0.2095385044813156,"[16, 768]",0.6078724265098572
10,3119,"[10, 7]",0.13748610019683838,"[10, 7]",0.16450487077236176,"[16, 768]",0.6121702194213867
11,3119,"[10, 7]",0.22570015490055084,"[10, 7]",0.21211160719394684,"[16, 768]",0.611764132976532
12,3119,"[10, 7]",0.24329127371311188,"[10, 7]",0.2663627564907074,"[16, 768]",0.6147949695587158
13,3119,"[10, 7]",0.1043691411614418,"[10, 7]",0.13198350369930267,"[16, 768]",0.6105198860168457
14,3119,"[10, 7]",0.1903727501630783,"[10, 7]",0.14507806301116943,"[16, 768]",0.6061525344848633
15,3119,"[10, 7]",0.15690894424915314,"[10, 7]",0.2684248387813568,"[16, 768]",0.6105989217758179
16,3119,"[10, 7]",0.18704979121685028,"[10, 7]",0.193054661154747,"[16, 768]",0.6149849891662598
